	Prec (mm)
2000-01-01	26.556573218111616
2000-01-02	51.98112176456772
2000-01-03	14.370260504943506
2000-01-04	7.09707563567343
2000-01-05	0.9023853658180692
2000-01-06	0.6080302620244401
2000-01-07	0.0048728828082384434
2000-01-08	0.6856865520371318
2000-01-09	0.013886217196235954
2000-01-10	0.0018072927513384865
2000-01-11	0.04736042155176108
2000-01-12	0.001141419067012772
2000-01-13	0.001839372148272565
2000-01-14	0.20164735285905583
2000-01-15	0.11111793798085279
2000-01-16	2.0134715493292727
2000-01-17	18.88058109168688
2000-01-18	9.732909049575301
2000-01-19	14.582306254574615
2000-01-20	21.6761412344185
2000-01-21	2.7973862860739693
2000-01-22	2.0708750754097123
2000-01-23	7.559834446113975
2000-01-24	4.9606944600848415
2000-01-25	4.110149614703211
2000-01-26	19.666845493534606
2000-01-27	52.69725691556404
2000-01-28	39.8618598031301
2000-01-29	24.06436508093285
2000-01-30	3.8826432603288787
