	Prec (mm)
2000-01-01	33.08630759924435
2000-01-02	60.03730229852615
2000-01-03	110.38441495815073
2000-01-04	34.505770782611705
2000-01-05	9.328118666321826
2000-01-06	16.395463024505986
2000-01-07	15.763531314958199
2000-01-08	1.5195775248214152
2000-01-09	1.5757661036354678
2000-01-10	1.519600998285233
2000-01-11	1.6286088476822003
2000-01-12	4.231594950556907
2000-01-13	3.505166536115329
2000-01-14	4.870120118139913
2000-01-15	5.15338254176084
2000-01-16	6.7544277910302775
2000-01-17	8.01640649907441
2000-01-18	8.084509800109872
2000-01-19	14.586737355631794
2000-01-20	15.835150858992206
2000-01-21	0.740182055203676
2000-01-22	0.7868972991602318
2000-01-23	0.4771525344619539
2000-01-24	0.8007554360461041
2000-01-25	15.37351638355634
2000-01-26	21.784111200391894
2000-01-27	4.089760544306466
2000-01-28	0.2656713833433331
2000-01-29	0.6170867448004331
2000-01-30	1.0981520904236748
