	Prec (mm)
2000-01-01	22.635643395718997
2000-01-02	20.613813513329813
2000-01-03	6.909766269626317
2000-01-04	0.766051606490062
2000-01-05	0.9184961849367703
2000-01-06	1.3883703822022557
2000-01-07	0.032588072069041366
2000-01-08	1.0636824765405455
2000-01-09	1.402970310691353
2000-01-10	0.5173913837521227
2000-01-11	0.2703553193307423
2000-01-12	0.9957505093066842
2000-01-13	0.27399396041890123
2000-01-14	0.14167544985567776
2000-01-15	0.05431711517430686
2000-01-16	2.0988954442155947
2000-01-17	11.277795420972618
2000-01-18	2.803703859135821
2000-01-19	14.821117509911945
2000-01-20	48.005864227359936
2000-01-21	8.188274495980956
2000-01-22	2.9698657273099967
2000-01-23	3.747556170487738
2000-01-24	6.514267520262645
2000-01-25	12.847730368375778
2000-01-26	8.313148579188997
2000-01-27	15.10066564631212
2000-01-28	31.40917704082452
2000-01-29	18.13691248609261
2000-01-30	12.385733020263952
