	Prec (mm)
2000-01-01	0.11944813564377656
2000-01-02	0.010479755283959506
2000-01-03	8.027329725229135e-05
2000-01-04	0.002797324694482621
2000-01-05	0.10348541634473006
2000-01-06	0.7581471950262993
2000-01-07	0.1345731467297985
2000-01-08	5.031492076202502
2000-01-09	3.1315095985431944
2000-01-10	9.931363884588485
2000-01-11	16.33153529278671
2000-01-12	10.57649878285152
2000-01-13	15.224181443333135
2000-01-14	13.977915309382718
2000-01-15	15.900160879222938
2000-01-16	15.778827964062517
2000-01-17	15.333731260839954
2000-01-18	2.365622299494444
2000-01-19	0.08408143250850467
2000-01-20	0.01850448934214011
2000-01-21	0.0035722445996509773
2000-01-22	0.27529322535673034
2000-01-23	1.0579144182591305
2000-01-24	3.3620306370269493
2000-01-25	11.958368638554052
2000-01-26	0.003143239997874546
2000-01-27	0.0005350862550785986
2000-01-28	0.3215268594318065
2000-01-29	0.18100150943717971
2000-01-30	1.1005722841979297
